hypothesis,outcome,N_segment,N_complement,effect_size,p_value,test_stat,fdr_adjusted_p,significant_fdr_05,abs_effect,score,promotion_status
season=2023-24 vs rest: total_corners,total_corners,30,2411,1.5201714364717276,0.016538250642789427,2.540134687715095,0.07340402931408241,False,1.5201714364717276,6.838484540791311,EXPLORATORY
competition=Bundesliga vs rest: total_goals,total_goals,306,3378,0.6414516072858985,1.9207778530927077e-09,6.166440428931144,8.989969501855333e-08,True,0.6414516072858985,5.267612415881481,EXPLORATORY_SIGNIFICANT_FDR
division_label=FIRST vs rest: total_goals,total_goals,1471,2213,0.2931997838616933,6.605050071669074e-08,5.414913500421824,1.9154645207840312e-06,True,0.2931997838616933,2.4077180719968108,EXPLORATORY_SIGNIFICANT_FDR
competition=Premier League vs rest: total_goals,total_goals,785,2899,0.26388365854247997,3.9649000556079996e-05,4.124240815979527,0.0006570405806436113,True,0.26388365854247997,2.15287415651082,EXPLORATORY_SIGNIFICANT_FDR
FOURTH vs rest: total corners,total_corners,552,1889,-0.38340104034801037,0.018703698891969243,-2.35563446116433,0.07340402931408241,False,0.38340104034801037,1.7247278987352141,EXPLORATORY
competition=League Two vs rest: total_corners,total_corners,552,1889,-0.38340104034801037,0.018703698891969243,-2.35563446116433,0.07340402931408241,False,0.38340104034801037,1.7247278987352141,EXPLORATORY
division_label=FOURTH vs rest: total_corners,total_corners,552,1889,-0.38340104034801037,0.018703698891969243,-2.35563446116433,0.07340402931408241,False,0.38340104034801037,1.7247278987352141,EXPLORATORY
competition=Serie A vs rest: total_goals,total_goals,380,3304,-0.24620237033261105,0.0034067665427932265,-2.943110805706743,0.02469905743525089,True,0.24620237033261105,1.621359663749402,EXPLORATORY_SIGNIFICANT_FDR
FIRST vs rest: total corners,total_corners,785,1656,0.3405020154466296,0.020249387396988252,2.3241052747837068,0.07340402931408241,False,0.3405020154466296,1.5317468233349265,EXPLORATORY
competition=Premier League vs rest: total_corners,total_corners,785,1656,0.3405020154466296,0.020249387396988252,2.3241052747837068,0.07340402931408241,False,0.3405020154466296,1.5317468233349265,EXPLORATORY
division_label=FIRST vs rest: total_corners,total_corners,785,1656,0.3405020154466296,0.020249387396988252,2.3241052747837068,0.07340402931408241,False,0.3405020154466296,1.5317468233349265,EXPLORATORY
Second division vs first division total goals,total_goals,1109,2575,-0.18145902457387475,0.001199902657106135,-3.2430605136665,0.01293986947080437,True,0.18145902457387475,1.3194155432131693,EXPLORATORY_SIGNIFICANT_FDR
competition=Championship vs rest: total_goals,total_goals,1109,2575,-0.18145902457387475,0.001199902657106135,-3.2430605136665,0.01293986947080437,True,0.18145902457387475,1.3194155432131693,EXPLORATORY_SIGNIFICANT_FDR
division_label=SECOND vs rest: total_goals,total_goals,1109,2575,-0.18145902457387475,0.001199902657106135,-3.2430605136665,0.01293986947080437,True,0.18145902457387475,1.3194155432131693,EXPLORATORY_SIGNIFICANT_FDR
competition=Bundesliga vs rest: over25,over25,306,3388,0.1446338866124962,1.200458425706609e-06,,2.7850635476393325e-05,True,0.1446338866124962,1.1877983616851182,EXPLORATORY_SIGNIFICANT_FDR
THIRD vs rest: total corners,total_corners,552,1889,-0.32721764448638524,0.049561304537474996,-1.966455020938754,0.13688360300826427,False,0.32721764448638524,1.077527096553487,EXPLORATORY
competition=League One vs rest: total_corners,total_corners,552,1889,-0.32721764448638524,0.049561304537474996,-1.966455020938754,0.13688360300826427,False,0.32721764448638524,1.077527096553487,EXPLORATORY
division_label=THIRD vs rest: total_corners,total_corners,552,1889,-0.32721764448638524,0.049561304537474996,-1.966455020938754,0.13688360300826427,False,0.32721764448638524,1.077527096553487,EXPLORATORY
season=2023-24 vs rest: total_cards,total_cards,30,2411,0.5000691276095668,0.2160208108171492,1.2641732615163475,0.3520372704595787,False,0.5000691276095668,0.862943349407957,EXPLORATORY
Fourth vs first division total goals,total_goals,552,3132,-0.17944499972236105,0.016388443877257332,-2.4055465680145054,0.07340402931408241,False,0.17944499972236105,0.8498112610529752,EXPLORATORY
competition=League Two vs rest: total_goals,total_goals,552,3132,-0.17944499972236105,0.016388443877257332,-2.4055465680145054,0.07340402931408241,False,0.17944499972236105,0.8498112610529752,EXPLORATORY
division_label=FOURTH vs rest: total_goals,total_goals,552,3132,-0.17944499972236105,0.016388443877257332,-2.4055465680145054,0.07340402931408241,False,0.17944499972236105,0.8498112610529752,EXPLORATORY
Home attack rolling strength above away,home_win,1938,1756,0.09928982982714724,1.0370307253147287e-09,,8.989969501855333e-08,True,0.09928982982714724,0.8156389897145331,EXPLORATORY_SIGNIFICANT_FDR
Home defensive goals-against lower than away,home_win,1942,1752,0.09747283081509905,2.324992112548793e-09,,8.989969501855333e-08,True,0.09747283081509905,0.8007128362396072,EXPLORATORY_SIGNIFICANT_FDR
SECOND vs rest: total corners,total_corners,552,1889,0.2861177603363494,0.07600339332630433,1.7763645076339258,0.1804712337779164,False,0.2861177603363494,0.7957615999445397,EXPLORATORY
competition=Championship vs rest: total_corners,total_corners,552,1889,0.2861177603363494,0.07600339332630433,1.7763645076339258,0.1804712337779164,False,0.2861177603363494,0.7957615999445397,EXPLORATORY
division_label=SECOND vs rest: total_corners,total_corners,552,1889,0.2861177603363494,0.07600339332630433,1.7763645076339258,0.1804712337779164,False,0.2861177603363494,0.7957615999445397,EXPLORATORY
competition=Bundesliga vs rest: btts,btts,306,3388,0.09639558302659912,0.0012270565877486902,,0.01293986947080437,True,0.09639558302659912,0.7011379185922332,EXPLORATORY_SIGNIFICANT_FDR
competition=Serie A vs rest: btts,btts,380,3314,-0.08538894006289105,0.001643781843008331,,0.013619906699211886,True,0.08538894006289105,0.6173632826209936,EXPLORATORY_SIGNIFICANT_FDR
season=2024-25 vs rest: total_goals,total_goals,2036,1648,-0.1290556392698421,0.014981740127459007,-2.4340082158317595,0.07340402931408241,False,0.1290556392698421,0.6111785545631773,EXPLORATORY
season=2023-24 vs rest: total_goals,total_goals,30,3654,0.32216748768472936,0.22025938959670344,1.2522909494461445,0.3520372704595787,False,0.32216748768472936,0.5852720328985075,EXPLORATORY
